coursematerial,zeroorone,theend
string,integer,string
  Week 1 ,3,theEnd
   Command Line,3,theEnd
  See the path of the current directory,1,theEnd
  See the contents in the current directory (including hidden files),1,theEnd
  Create new files and directories,1,theEnd
  Change directories,1,theEnd
  Copy files and directories,1,theEnd
  Move files and directories,1,theEnd
  Delete files and directories,1,theEnd
  Open files and directories using Sublime,1,theEnd
   Git & Github,3,theEnd
  Explain the difference between Git and Github,0,theEnd
  Initialize a local git repository,1,theEnd
  Create a new repository on Github,1,theEnd
  Clone a repository from Github,1,theEnd
  Pull changes from a repository on Github,1,theEnd
  Add and commit changes to a git repository,1,theEnd
  Push changes from a local git repository to Github,1,theEnd
  Fork an existing repository from Github,1,theEnd
  Add and remove a remote,1,theEnd
  Use Github to submit a pull request,1,theEnd
"  Explain the difference between a fork, branch and clone",1,theEnd
"  Explain the difference between a fetch, merge and pull",0,theEnd
   Ruby basics & Strings,3,theEnd
"  Describe the different types in Ruby (numbers, strings, collections, etc.)",1,theEnd
  Explain the difference between a string and a symbol and when you would use each,1,theEnd
  Manipulate strings using concatenation & interpolation,1,theEnd
  Use common string methods to manipulate strings,1,theEnd
   Ruby Collections & Enumeration,3,theEnd
  Explain the difference between an array and a hash and when you would use each,1,theEnd
"  Create an array, access items in an array, change the value of items in an array",1,theEnd
"  Create a hash, access items in a hash, change the value of items in a hash",1,theEnd
"  Create, access items in, change the value of items in, and manipulate items in nested collections (arrays & hashes)",0,theEnd
  Use common array and hash methods to manipulate collections,1,theEnd
  Explain what a block is,1,theEnd
  Use built in Ruby methods to enumerate over a collection ,1,theEnd
  Explain the difference between each and map,1,theEnd
   Ruby Control Flow,3,theEnd
"  Use boolean logic (&&, ||, !) to combine and manipulate boolean statements",1,theEnd
"  Use if, else, elsif statements to control logic flow in a Ruby program",1,theEnd
  Use the ternary operator for more concise if/else statements,0,theEnd
  Use Ruby case statements,1,theEnd
  Use while loops to execute code multiple times,1,theEnd
   Ruby Methods,3,theEnd
  Explain what a method is and why it is useful,1,theEnd
  Define and use methods with arguments,1,theEnd
  Return values from a method,1,theEnd
   Ruby Objects,3,theEnd
  Write a class with an initialize method,1,theEnd
  Write setters and getters,1,theEnd
  Explain when and why you would use use attr_accessor,1,theEnd
  Define class and instance methods and explain the difference between the two,1,theEnd
  Explain the use of self in Ruby,0,theEnd
  Instantiate and use an object,1,theEnd
  Write a class that inherits from another class,1,theEnd
  Explain what a module is. How does it differ from a class?,0,theEnd
"  Explain the difference between local, instance and class variables",1,theEnd
   Ruby Other,3,theEnd
  Reference the Ruby docs,1,theEnd
  Explain what a gem is,1,theEnd
